FirstName,LastName,HeightFeet,HeightInches,HomeTown,HomeState,PlayerID,Team ID,University,BirthDate
Brandon,Mitchell,6,6,Memphis ,TN,121,8,San Jose State,
Ryan ,Singer,6,10,Littleton,CO,122,8,San Jose State,
Jaycee,Hillsman,6,6,Champaign,IL,123,8,San Jose State,
Andrew,Vollert,6,5,San Mateo,CA,124,8,San Jose State,
Ryan ,Welage,6,9,Greensburg,IN,125,8,San Jose State,
Ashtin,Chastain,6,11,Norco,CA,126,8,San Jose State,
Jay,Green,6,5,Sydney,NSW,127,9,UNLV,
Kris ,Clyburn,6,6,Detroit,MI,128,9,UNLV,
Anthony ,Smith,6,4,Sacramento,CA,129,9,UNLV,
Amauri,Hardy,6,2,Detroit,MI,130,9,UNLV,
Noah,Robotham,6,1,Las Vegas,NV,131,9,UNLV,
Shakur,Juiston,6,7,Newark,NJ,132,9,UNLV,
Cheickna,Dembele,6,11,Mali,West Africa,133,9,UNLV,
Djordjije,Sljivancanin,6,10,Belgrade,Serbia,134,9,UNLV,
Ben ,Coupet Jr.,6,7,Chicago,IL,135,9,UNLV,
Tervell,Beck,6,7,Cleveland,OH,136,9,UNLV,
Nick,Blair,6,5,Las Vegas,NV,137,9,UNLV,
Jordan ,Johnson,5,11,Waukegan,IL,138,9,UNLV,
Jovan,Mooring,6,2,Chicago,IL,139,9,UNLV,
Cheikh,Mbacke Diong,6,11,Dakar,Senegal,140,9,UNLV,
Brandon,McCoy,7,1,Chicago,IL,141,9,UNLV,
DeAngelo,Isby,6,5,Chicago,IL,142,10,Utah State,
Koby,McEwen,6,4,Toronto,ON,143,10,Utah State,
Klay,Stall,6,10,Chandler,AZ,144,10,Utah State,
Sam,Merrill,6,5,Bountiful,UT,145,10,Utah State,
Crew,Ainge,5,11,Wellesley,MA,146,10,Utah State,
Julion,Pearre,6,3,Mckinney,TX,147,10,Utah State,
Quinn,Taylor,6,8,Houston,TX,148,10,Utah State,
Alex,Dargenton,6,8,Fort-de-france,Martinique,149,10,Utah State,
Justin,Bean,6,7,Moore,OK,150,10,Utah State,
Taylor,Larson,6,4,Highland,UT,151,10,Utah State,
Norbert,Janicek,6,11,Martin,Slovenia,152,10,Utah State,
Brock,Miller,6,6,Sandy ,UT,153,10,Utah State,
Daron,Henson,6,7,Pasadena,CA,154,10,Utah State,
Diogo,Brito,6,5,Porto,Portugal,155,10,Utah State,
Dwayne,Brown Jr.,6,6,Conyers ,GA,156,10,Utah State,
Abel,Porter,6,3,Farmington,UT,157,10,Utah State,
Nyaires,Redding,6,2,Cleveland,OH,158,11,Wyoming,
Justin,James,6,7,Port Saint Lucie,FL,159,11,Wyoming,
Andrew,Moemeka,6,8,Lake City,FL,160,11,Wyoming,
Alexander ,Aka Gorski,6,5,Lund,Sweden,161,11,Wyoming,
Hunter,Thompson,6,10,Pine Bluffs,WY,162,11,Wyoming,
Alan,Herndon,6,9,Colorado Springs,CO,163,11,Wyoming,
Cody,Kelley,5,11,Gillette,WY,164,11,Wyoming,
Jeremy ,Lieberman,6,1,Calabasas,CA,165,11,Wyoming,
Hunter,Maldonado,6,7,Colorado Springs,CO,166,11,Wyoming,
Sam,Averbuck,6,4,Santa Rosa,CA,167,11,Wyoming,
Austin,Mueller,6,6,Highlands Ranch,CO,168,11,Wyoming,
Brodricks,Jones,6,10,Los Angeles,CA,169,11,Wyoming,
Hayden,Dalton,6,8,Parker,CO,170,11,Wyoming,
Louis,Adams,6,4,Chicago,IL,171,11,Wyoming,
Anthony ,Mack,6,6,Las Vegas,NV,172,11,Wyoming,
Jordan ,Naughton,6,10,Rancho Cucamonga,CA,173,11,Wyoming,
